DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             0.195               1.071            -0.876         4.546
RESSURF            0.197               1.066            -0.869         4.216
SOLIN            340.267             340.267             0.000         0.000
AAM            1.397e+26           1.421e+26        -2.473e+24      -999.000
CHI_200           -0.004               0.004            -0.008         0.287
CLDHGH            29.133              28.976             0.157         1.234
CLDLOW            32.459              33.208            -0.749         1.826
CLDMED            16.192              15.802             0.390         1.299
CLDTOT            50.737              51.151            -0.414         1.598
EKE_850           31.002              30.273             0.729         1.415
EP             5.078e-05           9.257e-05        -4.180e-05         0.358
FLNS              60.014              58.338             1.676         2.454
FLNSC             83.014              80.768             2.247         3.120
FLNT             231.239             234.584            -3.345         3.818
FLNTC            260.163             263.586            -3.423         3.560
FSDS             182.393             182.826            -0.434         3.312
FSDSC            243.653             245.579            -1.926         2.169
FSNS             157.510             160.107            -2.597         5.778
FSNSC            212.309             216.746            -4.437         7.991
FSNSC_ICE         52.708              55.237            -2.529         7.674
FSNSC_LAND       177.243             179.271            -2.028         2.657
FSNT             231.434             235.654            -4.221         6.398
FSNTC            282.178             288.532            -6.354         8.892
ICEAREA           25.141              21.786             3.356         0.086
LHFLX             80.102              83.631            -3.529         6.254
LWCF              28.924              29.002            -0.078         1.293
PRECT              2.744               2.868            -0.124         0.364
PRECT_LAND         2.306               2.380            -0.074         0.242
PRECT_OCEAN        3.049               3.185            -0.136         0.418
PREH2O            24.850              27.488            -2.639         3.075
PREH2O_OCEAN      29.013              31.904            -2.891         3.460
PSI_200           -0.035              -0.034            -0.001         0.182
PS               985.322             985.581            -0.259         0.495
PSL             1011.063            1011.249            -0.186         0.426
QFLX               2.744               2.868            -0.124         0.200
SHFLX             17.196              17.072             0.124         2.011
SNOWHLND          11.531              11.212             0.318         3.138
SST               20.159              21.411            -1.252         1.310
STRESS_MAG         0.067               0.067             0.001         0.005
SWCF             -50.744             -52.878             2.133         3.949
T_850            281.290             282.717            -1.427         1.445
TGCLDLWP         132.582             136.391            -3.809        10.073
TGCLDIWP          17.581              16.933             0.648         1.157
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.194             288.621            -1.428         1.481
TS               287.884             289.308            -1.424         1.496
TS_LAND          281.952             283.584            -1.633         1.658
U_200             15.298              15.650            -0.352         0.986
VT_850             0.172               0.120             0.052         0.401
Z3_500            56.604              56.948            -0.343         0.347
