DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             7.297               8.737            -1.440         6.901
RESSURF            6.591               7.876            -1.285         7.642
SOLIN            350.496             350.496             0.000         0.000
AAM            1.465e+26           1.480e+26        -1.550e+24      -999.000
CHI_200           -0.052              -0.034            -0.019         0.539
CLDHGH            28.523              28.437             0.085         1.949
CLDLOW            31.940              32.527            -0.587         2.069
CLDMED            16.347              16.071             0.275         1.718
CLDTOT            49.996              50.359            -0.363         2.125
EKE_850           27.877              27.407             0.470         1.724
EP             5.842e-03           8.285e-03        -2.443e-03         0.498
FLNS              59.495              57.829             1.666         2.947
FLNSC             82.490              80.230             2.260         3.571
FLNT             228.307             231.572            -3.265         4.213
FLNTC            256.767             260.174            -3.407         3.658
FSDS             189.885             190.001            -0.117         5.111
FSDSC            253.894             255.748            -1.854         2.518
FSNS             161.709             164.805            -3.096         8.096
FSNSC            218.915             224.289            -5.374        11.408
FSNSC_ICE         31.856              27.518             4.338         5.648
FSNSC_LAND       143.007             145.140            -2.133         3.326
FSNT             235.604             240.309            -4.705         8.558
FSNTC            288.395             295.677            -7.281        12.133
ICEAREA           23.243              20.484             2.759         0.084
LHFLX             80.627              84.327            -3.700         7.633
LWCF              28.460              28.603            -0.142         1.960
PRECT              2.753               2.880            -0.127         0.473
PRECT_LAND         2.260               2.345            -0.085         0.361
PRECT_OCEAN        3.093               3.229            -0.135         0.530
PREH2O            23.475              26.095            -2.619         3.277
PREH2O_OCEAN      28.453              31.427            -2.973         3.745
PSI_200           -0.002              -0.001            -0.001         0.187
PS               985.188             985.445            -0.257         0.684
PSL             1011.257            1011.425            -0.168         0.634
QFLX               2.759               2.889            -0.130         0.234
SHFLX             14.996              14.773             0.223         2.930
SNOWHLND          12.307              11.984             0.323         3.124
SST               20.134              21.413            -1.278         1.355
STRESS_MAG         0.072               0.071             0.001         0.007
SWCF             -52.791             -55.368             2.577         5.995
T_850            279.667             281.048            -1.381         1.423
TGCLDLWP         132.516             136.864            -4.348        12.950
TGCLDIWP          17.940              17.363             0.577         1.575
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.266             286.696            -1.429         1.526
TS               285.913             287.333            -1.420         1.551
TS_LAND          275.256             276.859            -1.603         1.689
U_200             16.051              16.333            -0.282         1.208
VT_850            -0.644              -0.684             0.040         0.711
Z3_500            56.351              56.692            -0.341         0.347
