DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             1.635               2.161            -0.526         4.412
RESSURF           -0.969              -0.438            -0.531         5.927
SOLIN            338.254             338.254             0.000         0.000
AAM            1.565e+26           1.554e+26         1.161e+24      -999.000
CHI_200            0.008               0.004             0.004         0.598
CLDHGH            29.022              28.815             0.207         2.070
CLDLOW            30.754              31.515            -0.761         2.219
CLDMED            16.168              15.743             0.425         2.105
CLDTOT            49.271              49.703            -0.432         2.228
EKE_850           28.783              28.078             0.705         1.750
EP             1.936e-02           1.855e-02         8.114e-04         0.658
FLNS              61.458              59.768             1.691         2.948
FLNSC             83.789              81.567             2.221         3.428
FLNT             230.590             234.057            -3.468         4.643
FLNTC            259.746             263.246            -3.500         3.759
FSDS             184.146             184.759            -0.613         4.824
FSDSC            241.584             243.581            -1.996         2.359
FSNS             158.538             160.889            -2.351         6.078
FSNSC            209.918             213.847            -3.929         7.044
FSNSC_ICE         37.927              39.852            -1.925         5.899
FSNSC_LAND       187.883             190.376            -2.493         3.998
FSNT             232.225             236.218            -3.994         6.591
FSNTC            279.873             285.732            -5.859         8.063
ICEAREA           24.687              21.502             3.185         0.106
LHFLX             80.037              83.620            -3.584         7.926
LWCF              29.157              29.189            -0.032         2.281
PRECT              2.719               2.845            -0.127         0.636
PRECT_LAND         2.238               2.296            -0.059         0.360
PRECT_OCEAN        3.035               3.185            -0.150         0.748
PREH2O            24.480              27.122            -2.641         3.252
PREH2O_OCEAN      28.938              31.867            -2.930         3.682
PSI_200           -0.020              -0.021             0.001         0.168
PS               985.286             985.545            -0.259         0.595
PSL             1011.057            1011.246            -0.189         0.527
QFLX               2.738               2.864            -0.126         0.237
SHFLX             18.012              17.940             0.072         2.630
SNOWHLND          12.685              12.339             0.347         3.102
SST               20.183              21.460            -1.277         1.355
STRESS_MAG         0.067               0.066             0.001         0.007
SWCF             -47.648             -49.514             1.865         4.830
T_850            281.202             282.664            -1.462         1.496
TGCLDLWP         126.733             130.160            -3.427        14.797
TGCLDIWP          18.097              17.334             0.763         1.707
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.140             288.597            -1.456         1.538
TS               287.868             289.326            -1.458         1.567
TS_LAND          281.603             283.256            -1.653         1.705
U_200             16.845              16.885            -0.040         1.381
VT_850             0.219               0.169             0.050         0.620
Z3_500            56.543              56.893            -0.350         0.356
