DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -25.100             -25.289             0.188         1.734
RESSURF          -10.143              -9.321            -0.822         4.246
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.285              -0.058            -0.227         0.283
CLDHGH            25.246              25.216             0.030         1.143
CLDLOW            29.748              30.715            -0.967         1.907
CLDMED            15.540              15.084             0.456         0.829
CLDTOT            46.015              46.596            -0.580         1.720
EKE_850           33.801              33.408             0.393         1.213
EP            -9.649e-03          -2.649e-02         1.684e-02         0.178
FLNS              65.302              64.607             0.695         1.907
FLNSC             88.682              87.860             0.822         2.058
FLNT             228.245             231.504            -3.260         3.678
FLNTC            251.918             255.358            -3.440         3.614
FSDS             165.158             165.744            -0.586         2.664
FSDSC            216.663             218.792            -2.129         2.249
FSNS             135.907             137.412            -1.504         2.616
FSNSC            180.372             183.324            -2.952         3.933
FSNSC_ICE         44.140              50.377            -6.238         8.541
FSNSC_LAND       162.708             165.302            -2.594         3.286
FSNT             203.145             206.216            -3.071         3.657
FSNTC            243.863             248.627            -4.764         5.407
ICEAREA           12.101              11.018             1.083         0.062
LHFLX             58.968              60.348            -1.380         3.644
LWCF              23.673              23.853            -0.180         1.139
PRECT              2.018               2.087            -0.069         0.185
PRECT_LAND         1.624               1.686            -0.062         0.153
PRECT_OCEAN        2.616               2.685            -0.068         0.223
PREH2O            17.667              19.245            -1.578         1.790
PREH2O_OCEAN      23.603              25.503            -1.900         2.209
PSI_200           -6.536              -6.754             0.218         0.249
PS               976.535             976.969            -0.434         0.561
PSL             1015.537            1015.855            -0.317         0.438
QFLX               2.008               2.060            -0.052         0.118
SHFLX             21.780              21.777             0.003         2.076
SNOWHLND           4.799               4.218             0.581         4.244
SST               18.002              18.931            -0.929         0.989
STRESS_MAG         0.050               0.049             0.001         0.004
SWCF             -40.719             -42.412             1.693         2.844
T_850            278.126             279.453            -1.327         1.344
TGCLDLWP         123.206             127.391            -4.186         8.237
TGCLDIWP          19.697              19.168             0.529         0.918
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.486             283.885            -1.399         1.490
TS               283.030             284.427            -1.397         1.512
TS_LAND          280.007             281.642            -1.634         1.665
U_200             18.057              18.652            -0.594         1.062
VT_850             0.280               0.276             0.004         0.404
Z3_500            56.320              56.641            -0.321         0.323
