DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -103.144            -104.265             1.122         2.304
RESSURF          -75.989             -75.905            -0.085         8.806
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.281               3.491            -0.210         0.488
CLDHGH            26.031              26.192            -0.161         1.749
CLDLOW            26.762              27.600            -0.838         1.905
CLDMED            17.582              17.034             0.547         1.433
CLDTOT            44.489              44.876            -0.387         2.015
EKE_850           43.310              42.935             0.375         2.289
EP             1.509e-01           1.555e-01        -4.551e-03         0.235
FLNS              65.178              65.013             0.165         2.232
FLNSC             88.241              88.132             0.109         2.498
FLNT             210.142             213.503            -3.361         3.915
FLNTC            232.749             236.490            -3.741         4.032
FSDS              89.872              90.995            -1.123         2.347
FSDSC            114.562             116.560            -1.999         2.263
FSNS              72.893              74.273            -1.380         2.762
FSNSC             93.894              96.016            -2.122         3.162
FSNSC_ICE          1.948               1.409             0.539         0.505
FSNSC_LAND        75.780              78.278            -2.499         4.024
FSNT             106.999             109.238            -2.239         3.186
FSNTC            127.023             130.234            -3.211         4.017
ICEAREA           14.490              13.504             0.986         0.082
LHFLX             66.179              68.097            -1.918         5.674
LWCF              22.607              22.986            -0.380         1.515
PRECT              2.064               2.128            -0.064         0.215
PRECT_LAND         1.033               1.107            -0.073         0.155
PRECT_OCEAN        3.425               3.458            -0.034         0.270
PREH2O            11.153              12.152            -0.999         1.311
PREH2O_OCEAN      17.881              19.222            -1.341         1.757
PSI_200           -8.015              -8.164             0.148         0.262
PS               976.882             977.501            -0.619         0.926
PSL             1017.254            1017.716            -0.462         0.858
QFLX               2.215               2.283            -0.068         0.179
SHFLX             17.526              17.067             0.458         4.396
SNOWHLND           6.282               5.691             0.591         4.220
SST               16.046              16.938            -0.892         0.961
STRESS_MAG         0.076               0.075             0.001         0.009
SWCF             -20.024             -20.996             0.972         1.794
T_850            270.413             271.625            -1.212         1.269
TGCLDLWP         117.256             122.513            -5.257        11.177
TGCLDIWP          23.971              23.675             0.296         1.668
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.260             274.742            -1.481         1.672
TS               273.751             275.221            -1.470         1.722
TS_LAND          264.634             266.270            -1.636         1.746
U_200             25.014              25.807            -0.793         1.420
VT_850             0.414               0.414            -0.001         0.824
Z3_500            54.987              55.312            -0.325         0.337
