DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            51.310              52.029            -0.719         4.119
RESSURF           53.532              55.134            -1.602         4.686
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.893              -3.744            -0.148         0.607
CLDHGH            25.171              25.122             0.049         1.794
CLDLOW            36.619              37.636            -1.017         2.565
CLDMED            13.704              13.429             0.275         1.226
CLDTOT            51.509              52.330            -0.821         2.664
EKE_850           19.035              19.391            -0.356         1.761
EP            -2.056e-01          -2.638e-01         5.822e-02         0.342
FLNS              60.822              59.586             1.236         2.898
FLNSC             85.530              83.743             1.787         2.766
FLNT             247.162             250.117            -2.955         4.138
FLNTC            272.201             275.267            -3.066         3.355
FSDS             232.507             232.140             0.367         6.202
FSDSC            317.310             319.501            -2.191         2.778
FSNS             195.889             197.340            -1.451         4.959
FSNSC            269.800             273.836            -4.036         8.028
FSNSC_ICE        115.173             132.936           -17.763        26.738
FSNSC_LAND       254.369             256.826            -2.457         4.135
FSNT             298.473             302.146            -3.674         5.975
FSNTC            365.481             372.016            -6.534         9.732
ICEAREA            9.531               8.465             1.066         0.072
LHFLX             53.894              54.532            -0.638         3.820
LWCF              25.038              25.150            -0.112         1.815
PRECT              2.088               2.177            -0.089         0.350
PRECT_LAND         2.374               2.431            -0.057         0.380
PRECT_OCEAN        1.914               2.033            -0.119         0.340
PREH2O            26.351              28.698            -2.347         2.590
PREH2O_OCEAN      30.669              33.267            -2.597         2.945
PSI_200           -4.246              -4.583             0.337         0.364
PS               975.683             975.991            -0.308         0.601
PSL             1013.358            1013.585            -0.227         0.533
QFLX               1.882               1.914            -0.031         0.119
SHFLX             27.641              28.088            -0.447         2.174
SNOWHLND           2.868               2.304             0.564         4.396
SST               19.499              20.475            -0.977         1.034
STRESS_MAG         0.049               0.046             0.003         0.006
SWCF             -67.009             -69.869             2.861         6.418
T_850            287.015             288.436            -1.421         1.457
TGCLDLWP         133.607             136.527            -2.921        11.590
TGCLDIWP          14.402              13.909             0.493         1.202
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           291.822             293.100            -1.278         1.353
TS               292.402             293.682            -1.280         1.373
TS_LAND          295.377             297.012            -1.635         1.687
U_200              9.116               9.603            -0.487         1.440
VT_850             0.121               0.111             0.009         0.577
Z3_500            57.847              58.167            -0.321         0.324
