DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            16.951              17.487            -0.536         3.439
RESSURF           16.873              18.189            -1.315         5.335
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.875               1.366            -0.491         0.576
CLDHGH            25.127              24.672             0.456         1.945
CLDLOW            26.949              27.882            -0.934         2.176
CLDMED            15.655              15.030             0.625         1.295
CLDTOT            43.801              44.064            -0.263         2.089
EKE_850           34.007              33.438             0.569         1.727
EP             1.817e-02           1.669e-02         1.474e-03         0.248
FLNS              70.287              69.965             0.322         2.423
FLNSC             93.227              92.794             0.433         2.153
FLNT             225.371             229.062            -3.692         4.426
FLNTC            248.806             252.301            -3.495         3.724
FSDS             208.120             209.199            -1.080         4.226
FSDSC            265.431             268.134            -2.704         3.014
FSNS             163.493             165.828            -2.335         4.569
FSNSC            212.010             215.806            -3.795         6.541
FSNSC_ICE         47.797              48.397            -0.600         5.780
FSNSC_LAND       190.867             194.455            -3.589         5.256
FSNT             242.321             246.549            -4.228         5.539
FSNTC            285.585             291.499            -5.913         7.812
ICEAREA           14.847              13.920             0.927         0.083
LHFLX             52.063              53.276            -1.213         4.217
LWCF              23.436              23.239             0.197         1.768
PRECT              1.744               1.791            -0.047         0.245
PRECT_LAND         1.485               1.525            -0.040         0.219
PRECT_OCEAN        2.205               2.256            -0.051         0.288
PREH2O            14.325              15.523            -1.198         1.503
PREH2O_OCEAN      19.885              21.338            -1.453         1.914
PSI_200           -7.860              -7.918             0.058         0.162
PS               976.772             977.201            -0.429         0.620
PSL             1015.757            1016.070            -0.313         0.536
QFLX               1.763               1.808            -0.045         0.134
SHFLX             24.270              24.399            -0.129         2.599
SNOWHLND           6.992               6.359             0.633         4.172
SST               15.981              16.869            -0.888         0.967
STRESS_MAG         0.046               0.047            -0.001         0.005
SWCF             -43.264             -44.950             1.685         4.141
T_850            276.363             277.688            -1.325         1.359
TGCLDLWP         113.995             117.261            -3.265        10.434
TGCLDIWP          21.026              20.241             0.785         1.469
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.047             282.374            -1.327         1.423
TS               281.573             282.898            -1.326         1.451
TS_LAND          279.798             281.384            -1.586         1.638
U_200             20.620              21.169            -0.550         1.444
VT_850             0.460               0.453             0.008         0.702
Z3_500            55.925              56.242            -0.317         0.322
