DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -23.957             -20.945            -3.012         7.332
RESSURF           -5.557              -3.396            -2.161         5.018
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.779               0.625             0.154         0.255
CLDHGH            25.505              25.318             0.186         0.933
CLDLOW            38.877              39.757            -0.881         1.996
CLDMED            16.075              15.553             0.522         1.023
CLDTOT            53.143              53.629            -0.487         1.516
EKE_850           44.985              43.819             1.165         1.684
EP             9.236e-02           1.115e-01        -1.917e-02         0.217
FLNS              60.827              59.168             1.659         2.234
FLNSC             89.786              87.738             2.048         2.826
FLNT             222.787             226.424            -3.637         3.804
FLNTC            246.989             250.744            -3.755         3.819
FSDS             166.990             166.533             0.457         3.436
FSDSC            223.935             225.469            -1.535         2.056
FSNS             136.803             142.052            -5.249         9.032
FSNSC            185.816             194.222            -8.406        13.155
FSNSC_ICE         60.392              60.471            -0.079         6.615
FSNSC_LAND       128.548             129.712            -1.163         1.419
FSNT             198.829             205.479            -6.649         9.556
FSNTC            243.177             253.154            -9.978        13.782
ICEAREA           13.040              10.768             2.273         0.101
LHFLX             68.975              73.925            -4.950         8.267
LWCF              24.202              24.320            -0.117         0.908
PRECT              2.239               2.391            -0.153         0.249
PRECT_LAND         1.610               1.707            -0.097         0.159
PRECT_OCEAN        2.425               2.583            -0.158         0.269
PREH2O            16.181              18.384            -2.203         2.551
PREH2O_OCEAN      18.566              20.835            -2.269         2.789
PSI_200            7.162               7.284            -0.121         0.152
PS               983.383             983.524            -0.141         0.566
PSL             1007.133            1007.200            -0.067         0.529
QFLX               2.331               2.503            -0.172         0.270
SHFLX             12.558              12.356             0.202         2.259
SNOWHLND          47.004              46.945             0.058         1.310
SST               14.310              15.829            -1.520         1.566
STRESS_MAG         0.093               0.092             0.001         0.006
SWCF             -44.347             -47.676             3.329         5.045
T_850            275.390             276.986            -1.596         1.607
TGCLDLWP         139.583             144.410            -4.827        10.611
TGCLDIWP          20.888              20.040             0.849         1.371
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           280.421             282.025            -1.604         1.637
TS               280.963             282.580            -1.617         1.670
TS_LAND          265.486             267.257            -1.771         1.791
U_200             25.194              25.451            -0.257         0.895
VT_850            -0.219              -0.211            -0.009         0.367
Z3_500            55.006              55.375            -0.370         0.376
