DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            70.735              76.664            -5.929        11.209
RESSURF           79.610              84.232            -4.622         7.931
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.860              -3.018             0.157         0.477
CLDHGH            21.132              21.138            -0.006         1.463
CLDLOW            41.809              42.599            -0.790         2.401
CLDMED            13.953              13.637             0.316         1.309
CLDTOT            52.458              53.208            -0.750         2.155
EKE_850           30.327              29.521             0.806         1.549
EP            -2.721e-02          -2.139e-02        -5.810e-03         0.328
FLNS              57.181              54.970             2.211         3.100
FLNSC             86.727              83.958             2.769         3.521
FLNT             233.954             237.262            -3.308         3.843
FLNTC            256.437             259.909            -3.472         3.605
FSDS             261.303             259.610             1.693         6.737
FSDSC            352.910             354.527            -1.617         3.062
FSNS             209.272             216.407            -7.135        12.881
FSNSC            288.579             300.820           -12.240        19.477
FSNSC_ICE        120.023             122.350            -2.327        12.127
FSNSC_LAND       188.631             190.531            -1.900         2.426
FSNT             304.690             313.926            -9.236        13.529
FSNTC            374.997             389.473           -14.477        20.256
ICEAREA            8.754               6.980             1.773         0.085
LHFLX             61.564              66.215            -4.652         8.789
LWCF              22.482              22.647            -0.164         1.423
PRECT              2.132               2.290            -0.158         0.319
PRECT_LAND         2.653               2.800            -0.147         0.337
PRECT_OCEAN        2.052               2.215            -0.162         0.327
PREH2O            20.024              22.798            -2.775         3.241
PREH2O_OCEAN      21.832              24.558            -2.725         3.462
PSI_200            6.541               6.599            -0.059         0.130
PS               983.633             983.657            -0.024         0.654
PSL             1006.992            1006.931             0.061         0.610
QFLX               2.105               2.268            -0.164         0.281
SHFLX             10.919              10.990            -0.071         1.519
SNOWHLND          46.967              46.908             0.059         1.344
SST               15.595              17.204            -1.609         1.671
STRESS_MAG         0.084               0.081             0.003         0.007
SWCF             -70.307             -75.547             5.240         8.972
T_850            278.607             280.206            -1.599         1.629
TGCLDLWP         143.554             147.394            -3.839        12.197
TGCLDIWP          17.175              16.292             0.883         1.557
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.157             285.700            -1.543         1.600
TS               284.643             286.215            -1.572         1.650
TS_LAND          275.018             276.831            -1.813         1.878
U_200             19.487              19.640            -0.153         0.969
VT_850            -0.089              -0.101             0.012         0.676
Z3_500            55.732              56.097            -0.365         0.371
