DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -110.383            -110.467             0.084         4.156
RESSURF          -83.040             -83.424             0.384         9.428
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.473               4.363             0.111         0.256
CLDHGH            31.576              31.148             0.428         1.386
CLDLOW            37.252              38.222            -0.970         2.257
CLDMED            18.065              17.382             0.683         1.432
CLDTOT            56.047              56.274            -0.227         1.673
EKE_850           56.270              55.018             1.251         2.502
EP             1.611e-01           1.870e-01        -2.584e-02         0.266
FLNS              63.262              62.082             1.181         1.987
FLNSC             92.549              91.164             1.385         2.687
FLNT             212.242             216.280            -4.038         4.312
FLNTC            239.029             243.086            -4.057         4.254
FSDS              80.146              80.754            -0.608         1.938
FSDSC            106.801             108.316            -1.515         1.880
FSNS              69.674              72.784            -3.110         5.480
FSNSC             92.619              97.091            -4.472         7.308
FSNSC_ICE          2.854               2.318             0.536         0.461
FSNSC_LAND        76.220              77.170            -0.950         1.612
FSNT             101.859             105.813            -3.954         5.956
FSNTC            123.839             129.362            -5.522         7.930
ICEAREA           16.742              14.050             2.692         0.155
LHFLX             75.635              80.690            -5.055         9.218
LWCF              26.787              26.806            -0.019         1.334
PRECT              2.381               2.530            -0.149         0.283
PRECT_LAND         0.861               0.919            -0.058         0.136
PRECT_OCEAN        2.821               2.968            -0.146         0.307
PREH2O            12.812              14.497            -1.684         1.950
PREH2O_OCEAN      15.326              17.058            -1.732         2.172
PSI_200            7.150               7.380            -0.230         0.265
PS               983.442             983.642            -0.200         0.858
PSL             1007.468            1007.595            -0.126         0.872
QFLX               2.543               2.717            -0.175         0.298
SHFLX             13.817              13.436             0.381         4.776
SNOWHLND          47.027              46.968             0.059         1.312
SST               12.815              14.234            -1.418         1.459
STRESS_MAG         0.103               0.104            -0.002         0.010
SWCF             -21.980             -23.549             1.568         2.493
T_850            272.519             274.100            -1.582         1.596
TGCLDLWP         138.344             144.252            -5.908        12.368
TGCLDIWP          23.728              22.872             0.855         1.741
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.276             278.906            -1.629         1.729
TS               277.869             279.498            -1.629         1.791
TS_LAND          258.315             259.937            -1.622         1.661
U_200             29.934              30.348            -0.414         1.306
VT_850            -0.376              -0.366            -0.011         0.644
Z3_500            54.391              54.759            -0.368         0.385
