DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -69.497             -68.494            -1.003         5.751
RESSURF          -43.941             -43.794            -0.146         6.767
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.323              -0.712             0.389         0.464
CLDHGH            24.061              23.993             0.068         1.287
CLDLOW            38.160              39.141            -0.981         2.322
CLDMED            16.474              15.986             0.488         1.220
CLDTOT            51.501              52.236            -0.735         1.930
EKE_850           43.075              42.083             0.992         2.070
EP             1.288e-01           1.464e-01        -1.762e-02         0.291
FLNS              59.938              57.810             2.128         2.919
FLNSC             87.881              85.377             2.504         3.565
FLNT             223.958             227.854            -3.897         4.223
FLNTC            248.212             252.233            -4.021         4.161
FSDS             122.123             121.712             0.410         2.952
FSDSC            165.264             166.450            -1.186         1.611
FSNS             105.732             109.413            -3.681         7.189
FSNSC            143.572             149.613            -6.041        10.127
FSNSC_ICE         21.129              21.167            -0.039         6.151
FSNSC_LAND       102.724             103.442            -0.719         0.924
FSNT             154.460             159.360            -4.900         7.674
FSNTC            189.966             197.425            -7.459        10.799
ICEAREA            9.840               7.582             2.258         0.125
LHFLX             77.381              83.306            -5.925         9.884
LWCF              24.254              24.379            -0.125         1.374
PRECT              2.487               2.675            -0.188         0.337
PRECT_LAND         1.484               1.597            -0.113         0.220
PRECT_OCEAN        2.743               2.940            -0.197         0.363
PREH2O            17.668              20.256            -2.589         3.019
PREH2O_OCEAN      19.982              22.591            -2.610         3.246
PSI_200            7.781               7.693             0.087         0.144
PS               983.333             983.558            -0.224         0.763
PSL             1007.218            1007.375            -0.157         0.686
QFLX               2.616               2.821            -0.205         0.323
SHFLX             12.354              12.091             0.263         2.939
SNOWHLND          46.982              46.917             0.065         1.484
SST               15.257              16.852            -1.595         1.650
STRESS_MAG         0.093               0.091             0.002         0.008
SWCF             -35.505             -38.065             2.560         3.956
T_850            276.311             278.018            -1.708         1.729
TGCLDLWP         143.326             148.558            -5.232        12.827
TGCLDIWP          21.198              20.221             0.978         1.765
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.217             282.988            -1.771         1.842
TS               281.811             283.601            -1.790         1.896
TS_LAND          263.112             265.112            -2.000         2.046
U_200             24.393              24.387             0.006         1.305
VT_850            -0.163              -0.139            -0.024         0.571
Z3_500            55.185              55.589            -0.404         0.408
