DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            15.792              21.099            -5.307        10.337
RESSURF           27.330              31.663            -4.332         7.760
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.749               1.789            -0.039         0.465
CLDHGH            25.166              24.904             0.262         1.651
CLDLOW            38.336              39.106            -0.770         1.901
CLDMED            15.766              15.166             0.600         1.284
CLDTOT            52.548              52.773            -0.226         1.771
EKE_850           43.235              42.075             1.160         2.073
EP             1.037e-01           1.318e-01        -2.816e-02         0.234
FLNS              62.881              61.773             1.108         1.992
FLNSC             91.954              90.421             1.533         2.309
FLNT             221.214             224.508            -3.294         3.543
FLNTC            244.463             247.910            -3.447         3.535
FSDS             206.874             206.568             0.306         4.891
FSDSC            274.121             275.959            -1.839         2.686
FSNS             164.403             171.566            -7.163        12.136
FSNSC            221.109             232.077           -10.968        17.969
FSNSC_ICE         62.861              62.640             0.221         8.688
FSNSC_LAND       148.145             149.239            -1.094         1.754
FSNT             237.006             245.606            -8.600        12.462
FSNTC            287.237             299.790           -12.553        18.288
ICEAREA           16.777              14.429             2.348         0.136
LHFLX             61.083              65.248            -4.165         7.426
LWCF              23.249              23.403            -0.154         1.203
PRECT              1.949               2.064            -0.115         0.242
PRECT_LAND         1.460               1.534            -0.074         0.176
PRECT_OCEAN        2.081               2.198            -0.117         0.260
PREH2O            14.282              16.044            -1.762         2.076
PREH2O_OCEAN      16.556              18.358            -1.802         2.279
PSI_200            7.163               7.444            -0.281         0.307
PS               983.122             983.234            -0.112         0.712
PSL             1006.846            1006.887            -0.041         0.711
QFLX               2.053               2.196            -0.143         0.240
SHFLX             13.108              12.882             0.226         2.814
SNOWHLND          47.039              46.990             0.049         1.186
SST               12.706              14.119            -1.412         1.457
STRESS_MAG         0.102               0.102            -0.001         0.008
SWCF             -50.231             -54.184             3.953         6.915
T_850            274.195             275.685            -1.490         1.507
TGCLDLWP         133.159             137.393            -4.234        10.841
TGCLDIWP          21.384              20.705             0.678         1.563
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.099             280.562            -1.463         1.502
TS               279.595             281.063            -1.468         1.529
TS_LAND          265.711             267.344            -1.633         1.667
U_200             26.851              27.324            -0.473         1.172
VT_850            -0.251              -0.236            -0.015         0.605
Z3_500            54.728              55.067            -0.339         0.354
