DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            48.492              48.321             0.171         2.366
RESSURF           15.916              15.570             0.346         3.208
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.495              -0.543             0.048         0.320
CLDHGH            36.475              36.221             0.253         1.540
CLDLOW            28.839              29.247            -0.408         1.551
CLDMED            16.943              16.747             0.196         1.813
CLDTOT            53.000              53.180            -0.181         1.552
EKE_850           15.501              14.866             0.635         1.312
EP            -8.063e-02          -8.279e-02         2.157e-03         0.549
FLNS              54.057              51.405             2.652         3.060
FLNSC             70.864              67.032             3.832         4.099
FLNT             242.419             245.561            -3.143         3.962
FLNTC            281.083             284.166            -3.083         3.229
FSDS             214.272             215.425            -1.154         3.734
FSDSC            289.275             291.386            -2.110         2.198
FSNS             198.834             199.909            -1.074         3.498
FSNSC            269.381             271.392            -2.011         2.108
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       243.335             244.850            -1.515         1.781
FSNT             290.911             293.883            -2.972         4.318
FSNTC            357.696             362.064            -4.368         4.410
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            111.612             115.851            -4.239         5.984
LWCF              38.665              38.605             0.060         1.692
PRECT              3.947               4.096            -0.149         0.545
PRECT_LAND         4.139               4.222            -0.083         0.389
PRECT_OCEAN        3.881               4.050            -0.169         0.585
PREH2O            40.332              44.433            -4.101         4.294
PREH2O_OCEAN      41.889              46.180            -4.291         4.467
PSI_200           -0.714              -0.618            -0.096         0.121
PS               995.800             996.003            -0.203         0.320
PSL             1010.531            1010.705            -0.174         0.277
QFLX               3.866               4.013            -0.147         0.180
SHFLX             17.249              17.083             0.167         1.656
SNOWHLND           0.000               0.000             0.000         0.002
SST               26.716              27.898            -1.182         1.201
STRESS_MAG         0.054               0.053             0.001         0.005
SWCF             -66.786             -68.181             1.396         3.645
T_850            289.660             291.026            -1.365         1.375
TGCLDLWP         134.901             137.349            -2.448        11.109
TGCLDIWP          12.285              11.716             0.569         1.138
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.407             299.691            -1.284         1.302
TS               299.385             300.647            -1.261         1.286
TS_LAND          297.700             299.230            -1.530         1.541
U_200              2.938               3.145            -0.207         0.994
VT_850             0.434               0.279             0.154         0.428
Z3_500            58.444              58.784            -0.340         0.340
