DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            53.207              52.765             0.442         3.568
RESSURF           15.931              15.128             0.803         5.942
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.566              -0.562            -0.003         0.635
CLDHGH            38.175              37.760             0.415         2.478
CLDLOW            27.358              27.501            -0.143         1.864
CLDMED            17.477              17.509            -0.031         2.244
CLDTOT            52.971              52.932             0.039         2.199
EKE_850           11.344              11.088             0.256         1.187
EP            -1.036e-01          -1.065e-01         2.904e-03         0.756
FLNS              56.203              53.604             2.599         3.377
FLNSC             72.733              68.870             3.863         4.412
FLNT             240.533             243.662            -3.128         4.799
FLNTC            280.550             283.568            -3.017         3.309
FSDS             217.814             218.715            -0.901         5.239
FSDSC            293.273             295.216            -1.943         2.137
FSNS             202.001             202.829            -0.828         4.907
FSNSC            272.985             274.827            -1.842         2.018
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.489             248.047            -1.559         2.106
FSNT             293.740             296.426            -2.686         5.256
FSNTC            361.428             365.656            -4.229         4.277
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.358             117.869            -4.510         8.074
LWCF              40.017              39.906             0.111         2.669
PRECT              4.033               4.193            -0.159         0.718
PRECT_LAND         4.380               4.444            -0.064         0.593
PRECT_OCEAN        3.919               4.106            -0.188         0.753
PREH2O            38.883              42.933            -4.050         4.447
PREH2O_OCEAN      40.813              45.195            -4.382         4.704
PSI_200            1.435               1.525            -0.090         0.141
PS               994.819             994.950            -0.131         0.357
PSL             1009.565            1009.669            -0.104         0.323
QFLX               3.930               4.086            -0.156         0.230
SHFLX             16.509              16.228             0.280         2.059
SNOWHLND           0.000               0.000             0.000         0.006
SST               26.650              27.825            -1.175         1.195
STRESS_MAG         0.058               0.058             0.000         0.007
SWCF             -67.688             -69.230             1.542         4.937
T_850            289.203             290.543            -1.339         1.352
TGCLDLWP         136.640             140.598            -3.958        15.098
TGCLDIWP          12.796              12.243             0.553         1.496
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.077             299.344            -1.268         1.285
TS               299.032             300.255            -1.224         1.245
TS_LAND          296.411             297.797            -1.387         1.404
U_200              3.940               3.849             0.091         1.194
VT_850            -2.135              -2.239             0.104         0.624
Z3_500            58.289              58.621            -0.333         0.333
