DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            29.288              28.986             0.301         3.088
RESSURF           -2.159              -3.112             0.953         4.969
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.483              -0.511             0.028         0.674
CLDHGH            34.751              34.475             0.275         2.134
CLDLOW            31.195              31.904            -0.709         2.272
CLDMED            16.911              16.431             0.480         2.287
CLDTOT            53.606              53.905            -0.300         2.229
EKE_850           10.914              10.324             0.589         1.174
EP             7.495e-02           1.093e-01        -3.439e-02         0.804
FLNS              52.342              49.615             2.728         3.272
FLNSC             69.532              65.652             3.880         4.173
FLNT             243.537             247.020            -3.483         4.732
FLNTC            281.058             284.304            -3.247         3.450
FSDS             197.296             198.532            -1.236         4.810
FSDSC            273.147             275.130            -1.983         2.250
FSNS             182.911             184.037            -1.126         4.452
FSNSC            254.019             255.897            -1.878         2.151
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       229.479             230.549            -1.070         1.952
FSNT             272.824             276.006            -3.182         5.241
FSNTC            340.060             344.404            -4.343         4.393
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            115.681             120.626            -4.945         7.992
LWCF              37.521              37.284             0.237         2.377
PRECT              3.911               4.043            -0.132         0.772
PRECT_LAND         3.384               3.430            -0.046         0.524
PRECT_OCEAN        4.071               4.229            -0.158         0.836
PREH2O            40.957              45.098            -4.141         4.391
PREH2O_OCEAN      42.485              46.754            -4.269         4.518
PSI_200           -3.055              -2.950            -0.106         0.156
PS               997.144             997.442            -0.297         0.374
PSL             1011.909            1012.176            -0.268         0.332
QFLX               3.986               4.153            -0.166         0.226
SHFLX             17.046              16.909             0.137         2.105
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.535              27.718            -1.183         1.207
STRESS_MAG         0.071               0.071             0.001         0.005
SWCF             -67.236             -68.397             1.161         4.585
T_850            289.521             290.926            -1.405         1.419
TGCLDLWP         145.009             146.407            -1.398        14.751
TGCLDIWP          12.071              11.462             0.609         1.508
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.267             299.576            -1.309         1.337
TS               299.172             300.461            -1.289         1.329
TS_LAND          297.359             299.009            -1.650         1.678
U_200              0.566               1.257            -0.691         1.433
VT_850             3.105               2.910             0.195         0.560
Z3_500            58.579              58.934            -0.355         0.355
